id,rate,duration,quantity,sourceLocation,startTime,endTime,merged_from,uncertainties
23a2c94b-f939-408b-a510-9ba7aff08308,70.31640146,4321.0,303837.17070866,CH4_1B1a_250m_-103.86877_31.98367?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-11-19T17:35:02,2024-05-17T18:35:02,GAO20240517t173526p0000-C,24.80394119
80a8e068-5bdc-467e-964b-65d27c4a2098,5864.327475,5469.4825,32074836.49878169,CH4_1B2_250m_-101.26737_31.15282?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2024-02-12T21:48:05,2024-09-27T19:17:02,emi20240731t181643p12010-A,854.8409356
8ef643ad-c480-44e1-8e4d-78a03547f934,3532.281053,4988.983055555555,17622490.320876937,CH4_1B2_250m_-101.32793_32.36330?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-07-31T19:59:01,2024-02-24T16:58:00,emi20240127t195915p13009-C,395.3904435
fb7cc2fc-88cd-4f6c-b1f9-4f9178194841,6060.157675,4508.850277777778,27324343.61630088,CH4_1B2_250m_-101.44280_31.39131?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-07-31T19:59:00,2024-02-04T16:50:01,emi20240127t195904p13008-A,494.8033079
1db68a25-083f-4daf-b8fd-5c6afc0ba9c6,5537.098608,9892.100555555555,54773536.21636269,CH4_1B2_250m_-101.52275_32.51480?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-08-28T16:58:00,2024-10-13T21:04:02,emi20240224t165801p11015-A,1219.983536
3ea8d2fe-6784-4bc4-8b4c-42f411f4609f,3683.699795,5713.049444444445,21045159.067324866,CH4_1B2_250m_-101.52275_32.51480?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2024-02-18T20:01:04,2024-10-13T21:04:02,emi20240816t200144p13032-A,873.5978
c49f6159-caeb-430a-b3c2-edd7c87dae79,3779.991289,9073.666388888889,34298379.90929209,CH4_1B2_250m_-101.55170_32.28120?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-07-31T19:59:01,2024-08-12T21:39:00,emi20240127t195915p13009-A,588.2201968
c0cc2cdf-28b1-46c8-8652-1d2d053106ac,1816.164304,3023.1494444444443,5490536.1066574305,CH4_1B2_250m_-101.64712_31.48990?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2024-07-27T19:54:05,2024-11-30T19:03:03,emi20241130t180334p12009-B,665.113765
24c90648-6643-4312-bfdd-8e31c8cbcea6,2105.166996,3023.1494444444443,6364234.43442018,CH4_1B2_250m_-101.68056_31.39830?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2024-07-27T19:54:05,2024-11-30T19:03:03,emi20241130t180334p12009-C,402.3675554
b54ff381-c03f-4e04-9dd2-9dca776bd057,16605.41308,9073.666388888889,150671978.5376119,CH4_1B2_250m_-101.76426_31.85867?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-07-31T19:59:01,2024-08-12T21:39:00,emi20240127t195915p13009-B,2120.261575
5fe12b14-cc52-403e-a0ac-ead716043c05,4227.892233,9073.666388888889,38362483.650416486,CH4_1B2_250m_-101.77233_31.84476?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-07-31T19:59:01,2024-08-12T21:39:00,emi20240127t195915p13009-D,539.8382684
20af89e8-166a-4118-b36b-b8a2a85deb70,3496.919608,4179.0680555555555,14613865.026638655,CH4_1B2_250m_-101.77599_31.37456?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2024-02-04T16:50:00,2024-07-27T19:54:05,emi20240212t214843p14025-I,174.5794469
2c46229c-d057-4225-8e92-eb300deaa80a,2179.335534,4508.85,9826297.0224759,CH4_1B2_250m_-101.77700_31.36286?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2023-07-31T19:59:00,2024-02-04T16:50:00,emi20240127t195904p13008-C,140.8677126
