id,rate,duration,quantity,sourceLocation,startTime,endTime,merged_from,event_type,uncertainties
40f0c8cc-45e8-4d81-adee-a6253299edad,87.8707760275,22.266666666666666,1956.5892795456666,A,2024-01-01T02:16:00,2024-01-02T00:32:00,"1, 90, 91, 2",RE,35.148310411000004
0938060c-4540-4b58-9f2a-f97210177698,159.2221714,0.11666666666666667,18.575919996666666,A,2024-01-02T06:50:00,2024-01-02T06:57:00,92,RE,63.68886856
f1229c64-3eab-4898-b5bf-6f3d7c10a31e,135.59375613,33.28333333333333,4513.0121831935,A,2024-01-02T08:38:00,2024-01-03T17:55:00,"3, 4, 93",RE,54.237502452
d2d36e71-49f0-4131-ad75-7c498fcf1572,5.279977194,3.55,18.7439190387,A,2024-01-03T23:33:00,2024-01-04T03:06:00,5,PRE,2.111990878
71d06e78-fe40-49dc-b397-2be375c3bbf7,44.44340994,8.383333333333333,372.583919997,A,2024-01-04T12:02:00,2024-01-04T20:25:00,6,PRE,17.77736398
41ba5c0c-705c-4388-8e84-b4b60cbfef45,339.0873,0.08333333333333333,28.257275,A,2024-01-05T07:30:00,2024-01-05T07:35:00,94,RE,135.63492
1de75385-b647-4d78-a65d-ce3dbc3a6b8e,26.4754512,1.8,47.655812159999996,A,2024-01-05T12:21:00,2024-01-05T14:09:00,7,PRE,10.59018048
90fcabd5-7ba4-48d1-a65b-76d246de34ea,192.23787762468748,36.9,7093.5776843509675,A,2024-01-05T18:40:00,2024-01-07T07:34:00,"8, 95, 96, 9, 97, 98, 10",RE,76.89515104987501
453c945b-ff82-4871-b1f1-752ddacb2bc2,3515.56962,0.08333333333333333,292.964135,A,2024-01-07T09:30:00,2024-01-07T09:35:00,99,RE,1406.227848
25939351-9974-47be-bc24-ec1fffecfff3,335.886408,0.08333333333333333,27.990534,A,2024-01-07T11:00:00,2024-01-07T11:05:00,100,RE,134.3545632
90c4a5e0-779c-4842-8e75-fc80a7a4b576,15.68792648,13.333333333333334,209.17235306666666,A,2024-01-07T15:50:00,2024-01-08T05:10:00,11,PRE,6.275170592
196b9b13-094e-4a96-b03b-b28d4b2c21e9,311.91426,0.08333333333333333,25.992855,A,2024-01-08T09:35:00,2024-01-08T09:40:00,101,RE,124.765704
3a883a7c-4703-408d-b13e-1dfe9a1b14e3,19.737749485000002,18.366666666666667,362.51666554116673,A,2024-01-08T21:11:00,2024-01-09T15:33:00,"12, 13",PRE,7.895099794
3e90cc75-bc6a-4d35-ad50-b6694f2d41c2,252.82969829774999,48.63333333333333,12295.950993880575,A,2024-01-09T20:05:00,2024-01-11T20:43:00,"14, 102, 15, 103",RE,101.131879319125
0ad1815c-16eb-460d-9828-e70a7562a09b,145.49104789449999,93.15,13552.491111372674,A,2024-01-12T08:57:00,2024-01-16T06:06:00,"16, 104, 17, 18",RE,58.196419154999994
