event_ID,event_type,source,start_time,end_time,duration,rate,quantity,duration_simulation,duration_lower,duration_upper,rate_lower,rate_upper
Event-01,RE,Compressor-2,2024-01-10 07:30:00,2024-03-18 09:15:00,1633.75,1.835673408110176,2999.0314305,False,0.0,0.0,1.1014040448661055,1.1014040448661055
Event-02,RE,Compressor-3,2024-01-08 09:35:00,2024-02-29 17:25:00,1255.8333333333333,1.2082258303915063,1517.330272,False,0.0,0.0,0.7249354982349038,0.7249354982349038
Event-03,PRE,A,2024-04-01 16:14:00,2024-04-30 23:59:00,116.75,38.5,27094.375,True,112.0,490.0,23.099999999999998,23.099999999999998
Event-04,RE,Compressor-3,2024-01-01 04:25:00,2024-01-01 04:35:00,0.1666666666666666,1096.7775840000002,182.796264,False,0.0,0.0,658.0665504000001,658.0665504000001
Event-05,RE,Tank-1,2024-01-01 13:34:00,2024-01-01 13:40:00,0.1,2312.5869,231.25869,False,0.0,0.0,1387.5521399999998,1387.5521399999998
Event-06,RE,Tank-1,2024-01-02 06:50:00,2024-01-02 06:57:00,0.1166666666666666,1364.761469142857,159.2221714,False,0.0,0.0,818.8568814857142,818.8568814857142
Event-07,RE,Tank-1,2024-01-03 15:15:00,2024-01-03 15:20:00,0.0833333333333333,3156.862464,263.071872,False,0.0,0.0,1894.1174783999998,1894.1174783999998
Event-08,RE,Compressor-2,2024-01-05 07:30:00,2024-01-05 07:35:00,0.0833333333333333,4069.0476,339.0873,False,0.0,0.0,2441.42856,2441.42856
Event-09,RE,Tank-2,2024-01-06 00:40:00,2024-01-06 00:50:00,0.1666666666666666,1580.5037519999998,263.417292,False,0.0,0.0,948.3022511999999,948.3022511999999
Event-10,RE,Compressor-3,2024-01-06 11:30:00,2024-01-06 11:35:00,0.0833333333333333,3161.007504,263.417292,False,0.0,0.0,1896.6045024,1896.6045024
Event-11,RE,Compressor-3,2024-01-06 17:25:00,2024-01-06 17:30:00,0.0833333333333333,4004.10864,333.67572,False,0.0,0.0,2402.4651839999997,2402.4651839999997
Event-12,RE,Compressor-2,2024-01-07 01:30:00,2024-01-07 01:35:00,0.0833333333333333,6451.0639200000005,537.58866,False,0.0,0.0,3870.638352,3870.638352
Event-13,RE,Compressor-2,2024-01-07 09:30:00,2024-01-07 09:35:00,0.0833333333333333,42186.83544,3515.56962,False,0.0,0.0,25312.101264,25312.101264
Event-14,RE,Compressor-2,2024-01-07 11:00:00,2024-01-07 11:05:00,0.0833333333333333,4030.636896,335.886408,False,0.0,0.0,2418.3821376,2418.3821376
Event-15,RE,Tank-1,2024-01-12 09:45:00,2024-01-12 10:35:00,0.8333333333333334,727.8027033599999,606.5022528,False,0.0,0.0,436.68162201599995,436.68162201599995
Event-16,RE,Tank-1,2024-01-25 09:00:00,2024-01-25 10:00:00,1.0,432.742176,432.742176,False,0.0,0.0,259.6453056,259.6453056
Event-17,RE,Dehydrator-2,2024-02-05 14:14:00,2024-02-16 11:45:00,261.51666666666665,0.0078962643885029,2.065004742,False,0.0,0.0,0.00473775863310174,0.00473775863310174
